Source: https://search.cannabis.ca.gov/

licenseNumber,licenseType,licenseStatus,businessDbaName,issueDate,licenseDesignation
C10-0000001-LIC,Commercial -  Retailer,Canceled,Atomic Budz,11/2/2018 0:00,Adult-Use and Medicinal
C10-0000002-LIC,Commercial -  Retailer,Active,MCPG - High Life,11/3/2018 0:00,Adult-Use and Medicinal
C10-0000003-LIC,Commercial -  Retailer,Active,Dank Depot,11/6/2018 0:00,Adult-Use and Medicinal
C10-0000004-LIC,Commercial -  Retailer,Active,Leef Industries,11/8/2018 0:00,Adult-Use
C10-0000005-LIC,Commercial -  Retailer,Active,Dutchman's Flat,11/14/2018 0:00,Adult-Use and Medicinal
C10-0000006-LIC,Commercial -  Retailer,Canceled,SKUNKMASTERS,11/20/2018 0:00,Adult-Use and Medicinal
C10-0000007-LIC,Commercial -  Retailer,Active,Data Not Available,11/20/2018 0:00,Adult-Use and Medicinal
C10-0000008-LIC,Commercial -  Retailer,Active,Data Not Available,11/20/2018 0:00,Adult-Use and Medicinal
C10-0000009-LIC,Commercial -  Retailer,Active,1841 El Camino,1/31/2019 0:00,Adult-Use and Medicinal
C10-0000010-LIC,Commercial -  Retailer,Active,"ALTERNATIVES, A HEALTH COLLECTIVE",3/19/2019 0:00,Adult-Use and Medicinal
C10-0000011-LIC,Commercial -  Retailer,Active,The Humboldt County Collective,3/28/2019 0:00,Adult-Use and Medicinal
C10-0000012-LIC,Commercial -  Retailer,Active,US Bloom,4/2/2019 0:00,Adult-Use and Medicinal
C10-0000013-LIC,Commercial -  Retailer,Active,Data Not Available,4/4/2019 0:00,Adult-Use and Medicinal
C10-0000014-LIC,Commercial -  Retailer,Active,Have a Heart CC,4/4/2019 0:00,Adult-Use and Medicinal
C10-0000015-LIC,Commercial -  Retailer,Active,Data Not Available,4/5/2019 0:00,Adult-Use and Medicinal
C10-0000016-LIC,Commercial -  Retailer,Active,THE COOKIE COMPANY,4/9/2019 0:00,Adult-Use and Medicinal
C10-0000017-LIC,Commercial -  Retailer,Active,Herbal Cruz,4/9/2019 0:00,Adult-Use and Medicinal
C10-0000018-LIC,Commercial -  Retailer,Active,Data Not Available,4/11/2019 0:00,Adult-Use and Medicinal
C10-0000019-LIC,Commercial -  Retailer,Active,A Therapeutic Alternative,4/12/2019 0:00,Adult-Use and Medicinal
C10-0000020-LIC,Commercial -  Retailer,Active,Wonderstump,4/15/2019 0:00,Adult-Use and Medicinal
C10-0000021-LIC,Commercial -  Retailer,Active,Data Not Available,4/24/2019 0:00,Adult-Use and Medicinal
C10-0000022-LIC,Commercial -  Retailer,Active,Empire Health and Wellness - Oakdale,4/24/2019 0:00,Adult-Use and Medicinal
C10-0000023-LIC,Commercial -  Retailer,Active,Data Not Available,4/24/2019 0:00,Adult-Use and Medicinal
C10-0000024-LIC,Commercial -  Retailer,Canceled,"Desert Pot Springs Collective, Inc.",4/25/2019 0:00,Adult-Use and Medicinal
C10-0000025-LIC,Commercial -  Retailer,Active,Canna Trading Company,4/26/2019 0:00,Adult-Use and Medicinal
C10-0000026-LIC,Commercial -  Retailer,Active,King's Crew,4/26/2019 0:00,Adult-Use and Medicinal
C10-0000027-LIC,Commercial -  Retailer,Active,Blum San Leandro,4/30/2019 0:00,Adult-Use and Medicinal
C10-0000028-LIC,Commercial -  Retailer,Active,SCC,5/1/2019 0:00,Adult-Use and Medicinal
C10-0000029-LIC,Commercial -  Retailer,Active,Data Not Available,5/1/2019 0:00,Adult-Use and Medicinal
C10-0000030-LIC,Commercial -  Retailer,Active,From The Earth,5/1/2019 0:00,Adult-Use and Medicinal
C10-0000031-LIC,Commercial -  Retailer,Active,Elevate,5/3/2019 0:00,Adult-Use and Medicinal
C10-0000032-LIC,Commercial -  Retailer,Active,Data Not Available,5/6/2019 0:00,Adult-Use and Medicinal
C10-0000033-LIC,Commercial -  Retailer,Active,BPG,5/6/2019 0:00,Adult-Use and Medicinal
C10-0000034-LIC,Commercial -  Retailer,Active,Emerald Perspective,5/6/2019 0:00,Adult-Use and Medicinal
C10-0000035-LIC,Commercial -  Retailer,Active,Vapor Room,5/6/2019 0:00,Adult-Use and Medicinal
C10-0000036-LIC,Commercial -  Retailer,Active,Sundial Collective,5/6/2019 0:00,Adult-Use and Medicinal
C10-0000037-LIC,Commercial -  Retailer,Active,Universal Collective,5/6/2019 0:00,Adult-Use and Medicinal
C10-0000038-LIC,Commercial -  Retailer,Active,Data Not Available,5/7/2019 0:00,Adult-Use and Medicinal
C10-0000039-LIC,Commercial -  Retailer,Active,CENTRAL COAST WELLNESS CENTER,5/7/2019 0:00,Adult-Use and Medicinal
C10-0000040-LIC,Commercial -  Retailer,Active,Data Not Available,5/7/2019 0:00,Adult-Use and Medicinal
C10-0000041-LIC,Commercial -  Retailer,Active,Data Not Available,5/8/2019 0:00,Adult-Use and Medicinal
C10-0000042-LIC,Commercial -  Retailer,Active,Sugarbudz,5/8/2019 0:00,Adult-Use and Medicinal
C10-0000043-LIC,Commercial -  Retailer,Active,Bloom Room,5/9/2019 0:00,Adult-Use and Medicinal
C10-0000044-LIC,Commercial -  Retailer,Active,Data Not Available,5/10/2019 0:00,Adult-Use and Medicinal
C10-0000045-LIC,Commercial -  Retailer,Active,West Coast Cannabis Club,5/10/2019 0:00,Adult-Use and Medicinal
C10-0000046-LIC,Commercial -  Retailer,Active,High Sierra June Lake,5/10/2019 0:00,Adult-Use
C10-0000047-LIC,Commercial -  Retailer,Active,Ojai Greens,5/10/2019 0:00,Adult-Use and Medicinal
C10-0000048-LIC,Commercial -  Retailer,Active,LA CANNABIS CO EST 2007,5/10/2019 0:00,Adult-Use and Medicinal
C10-0000049-LIC,Commercial -  Retailer,Active,LA CANNABIS CO EST 2007,5/10/2019 0:00,Adult-Use and Medicinal
C10-0000050-LIC,Commercial -  Retailer,Active,Data Not Available,5/10/2019 0:00,Adult-Use and Medicinal
C10-0000051-LIC,Commercial -  Retailer,Active,Bang Mingo,5/13/2019 0:00,Adult-Use and Medicinal
C10-0000052-LIC,Commercial -  Retailer,Active,Data Not Available,5/14/2019 0:00,Medicinal
C10-0000053-LIC,Commercial -  Retailer,Active,Stiiizy,5/14/2019 0:00,Adult-Use and Medicinal
C10-0000054-LIC,Commercial -  Retailer,Active,"Euphoric Caregivers, Prop- 215",5/14/2019 0:00,Adult-Use and Medicinal
C10-0000055-LIC,Commercial -  Retailer,Active,Data Not Available,5/15/2019 0:00,Adult-Use and Medicinal
C10-0000056-LIC,Commercial -  Retailer,Active,Green Goddess Collective,5/15/2019 0:00,Adult-Use and Medicinal
C10-0000057-LIC,Commercial -  Retailer,Active,Data Not Available,5/15/2019 0:00,Adult-Use and Medicinal
C10-0000058-LIC,Commercial -  Retailer,Active,The Higher Conscious,5/16/2019 0:00,Adult-Use and Medicinal
C10-0000059-LIC,Commercial -  Retailer,Active,VALLEY PURE,5/16/2019 0:00,Adult-Use and Medicinal
C10-0000060-LIC,Commercial -  Retailer,Active,Data Not Available,5/16/2019 0:00,Adult-Use and Medicinal
C10-0000061-LIC,Commercial -  Retailer,Active,Data Not Available,5/16/2019 0:00,Adult-Use and Medicinal
C10-0000062-LIC,Commercial -  Retailer,Active,Data Not Available,5/16/2019 0:00,Adult-Use and Medicinal
C10-0000063-LIC,Commercial -  Retailer,Expired,Pineapple Express,5/16/2019 0:00,Adult-Use and Medicinal
C10-0000064-LIC,Commercial -  Retailer,Active,HPC- Hueneme Patient Collective,5/17/2019 0:00,Adult-Use and Medicinal
C10-0000065-LIC,Commercial -  Retailer,Active,Mother Earth's Farmacy,5/17/2019 0:00,Adult-Use and Medicinal
C10-0000066-LIC,Commercial -  Retailer,Active,Solful,5/17/2019 0:00,Adult-Use and Medicinal
C10-0000067-LIC,Commercial -  Retailer,Active,Data Not Available,5/19/2019 0:00,Adult-Use and Medicinal
C10-0000068-LIC,Commercial -  Retailer,Active,Have a Heart CC,5/20/2019 0:00,Adult-Use and Medicinal
C10-0000069-LIC,Commercial -  Retailer,Active,Purple Heart,5/20/2019 0:00,Adult-Use and Medicinal
C10-0000070-LIC,Commercial -  Retailer,Active,Have a Heart CC,5/20/2019 0:00,Adult-Use and Medicinal
C10-0000071-LIC,Commercial -  Retailer,Active,Data Not Available,5/20/2019 0:00,Adult-Use and Medicinal
C10-0000072-LIC,Commercial -  Retailer,Active,Sherbinskis,5/20/2019 0:00,Adult-Use and Medicinal
C10-0000073-LIC,Commercial -  Retailer,Active,Blum,5/21/2019 0:00,Adult-Use and Medicinal
C10-0000074-LIC,Commercial -  Retailer,Active,Captain Jacks,5/22/2019 0:00,Adult-Use and Medicinal
C10-0000075-LIC,Commercial -  Retailer,Inactive,Bud Relief,5/22/2019 0:00,Adult-Use and Medicinal
C10-0000076-LIC,Commercial -  Retailer,Active,March and Ash,5/22/2019 0:00,Adult-Use and Medicinal
C10-0000077-LIC,Commercial -  Retailer,Canceled,Artifact,5/22/2019 0:00,Adult-Use and Medicinal
C10-0000078-LIC,Commercial -  Retailer,Active,Green Mammoth,5/22/2019 0:00,Adult-Use and Medicinal
C10-0000079-LIC,Commercial -  Retailer,Active,The Grove,5/23/2019 0:00,Adult-Use and Medicinal
C10-0000080-LIC,Commercial -  Retailer,Active,SoCal's Choice Inc,5/23/2019 0:00,Adult-Use and Medicinal
C10-0000081-LIC,Commercial -  Retailer,Active,Delta 9 THC,5/23/2019 0:00,Adult-Use and Medicinal
C10-0000082-LIC,Commercial -  Retailer,Active,Haven,5/23/2019 0:00,Adult-Use and Medicinal
C10-0000084-LIC,Commercial -  Retailer,Active,Data Not Available,5/24/2019 0:00,Adult-Use and Medicinal
C10-0000085-LIC,Commercial -  Retailer,Active,Data Not Available,5/27/2019 0:00,Adult-Use and Medicinal
C10-0000086-LIC,Commercial -  Retailer,Active,HCMA,5/28/2019 0:00,Adult-Use and Medicinal
C10-0000087-LIC,Commercial -  Retailer,Active,Data Not Available,5/28/2019 0:00,Medicinal
C10-0000088-LIC,Commercial -  Retailer,Active,Sundialed,5/28/2019 0:00,Adult-Use and Medicinal
C10-0000089-LIC,Commercial -  Retailer,Active,Green Leaf Wellness,5/29/2019 0:00,Adult-Use and Medicinal
C10-0000090-LIC,Commercial -  Retailer,Active,Pure Life,5/29/2019 0:00,Medicinal
C10-0000091-LIC,Commercial -  Retailer,Active,Data Not Available,5/29/2019 0:00,Adult-Use and Medicinal
C10-0000092-LIC,Commercial -  Retailer,Active,"IE Gardens, Inc.",5/29/2019 0:00,Adult-Use and Medicinal
